steps,case1,case2,case3,case4,case5,case6
0,0.354743434,0.366257753,0.365031711,0.348345635,0.371440495,0.41414987
4,0.408630766,0.402562687,0.433402488,0.428664263,0.378729028,0.402663214
7,0.359865031,0.353870359,0.437114178,0.414782777,0.362157043,0.432062145
10,0.414298091,0.369539323,0.446702915,0.37396705,0.401717068,0.392673089
13,0.444601914,0.405408717,0.374566481,0.435241826,0.388759697,0.439714331
16,0.379423147,0.418006483,0.431490846,0.394957832,0.39166767,0.384051102
19,0.399421353,0.373000205,0.45788268,0.390642438,0.356003564,0.446894718
22,0.44522346,0.370027804,0.456496729,0.415823931,0.374553281,0.44485592
25,0.396111059,0.408160728,0.41037681,0.414724495,0.377874836,0.429986647
28,0.412457977,0.373805052,0.421661983,0.386671564,0.373739164,0.403643866
31,0.43642727,0.398316934,0.374807462,0.44169009,0.376153405,0.424344031
34,0.368774534,0.386126804,0.382016738,0.39846425,0.380352445,0.373008043
37,0.358206152,0.358680835,0.373948712,0.403773741,0.382318548,0.383855092
40,0.403940446,0.44252334,0.389578701,0.413380207,0.393973892,0.383994295
43,0.41487476,0.452235026,0.438193507,0.407882042,0.421585929,0.409246778
46,0.397686227,0.40351971,0.383597084,0.398577379,0.432130169,0.408440781
49,0.419306432,0.371081814,0.411947074,0.389301791,0.447217145,0.405395321
52,0.441281056,0.410016426,0.439322127,0.422419307,0.42129614,0.406692178
55,0.415076052,0.377172919,0.372080084,0.399223063,0.425566561,0.38532099
58,0.427582661,0.429007875,0.433181436,0.428416108,0.422480032,0.424533188
61,0.448948685,0.450102264,0.401894572,0.435771809,0.439821499,0.395894172
64,0.417488374,0.423697489,0.422452536,0.428634691,0.454607631,0.442728192
67,0.395189185,0.469724968,0.431075173,0.428332409,0.480734234,0.384479318
70,0.456914567,0.426791772,0.433487358,0.416730992,0.427976335,0.425415577
73,0.432350662,0.467319899,0.448834372,0.486015985,0.424450551,0.400265861
76,0.419201861,0.447668128,0.400776632,0.412657293,0.433775309,0.451781924
79,0.427871719,0.41692279,0.433878115,0.450662431,0.441037202,0.47004737
82,0.429639596,0.429762044,0.458904453,0.465130596,0.433064919,0.435205784
85,0.452065092,0.42816561,0.442250155,0.45217699,0.495995933,0.442220475
88,0.446720614,0.4563979,0.44819345,0.460912207,0.449418086,0.372273078
91,0.423769456,0.462543987,0.435268855,0.42016082,0.46798425,0.474623315
94,0.444376057,0.484904283,0.444821403,0.464913525,0.432557285,0.477151558
97,0.482301416,0.456460789,0.468059825,0.4589506,0.456508555,0.447322387
100,0.428959608,0.483562495,0.421856315,0.451959596,0.440186528,0.462252707
103,0.521443946,0.431823472,0.505145842,0.481767169,0.463670557,0.447312912
106,0.4970045,0.497338812,0.469402658,0.470562591,0.474696965,0.47876418
109,0.44886671,0.487010078,0.457333669,0.516367453,0.478506618,0.474478715
112,0.44607578,0.490237169,0.460300053,0.466318336,0.521867077,0.49256272
115,0.475560461,0.495583963,0.479537,0.533352075,0.49283279,0.494656865
118,0.519001667,0.47284959,0.494312517,0.484135914,0.465520967,0.485314728
121,0.496569899,0.46110102,0.477522168,0.51937473,0.471899242,0.504816982
124,0.490068395,0.498283654,0.507575644,0.533376783,0.490023392,0.480685214
127,0.506724595,0.526764865,0.502066502,0.503491506,0.506889785,0.478088851
130,0.528169085,0.515142073,0.504574496,0.548458515,0.486350221,0.50949984
133,0.497653524,0.578460547,0.486429502,0.508634468,0.498549127,0.488474021
136,0.51002532,0.528149364,0.522385053,0.545609789,0.49760934,0.530238408
139,0.51394479,0.493107636,0.586401048,0.562533505,0.506599004,0.500374154
142,0.534496229,0.500202713,0.496860828,0.552742925,0.510659224,0.523301754
145,0.53803275,0.55136368,0.548563891,0.483605897,0.535620656,0.498631079
148,0.516733246,0.495935699,0.484941227,0.526376065,0.532357006,0.50741935
151,0.586758342,0.512694868,0.532135918,0.526256627,0.526116636,0.559859108
154,0.531562896,0.498804144,0.477035128,0.502970147,0.516134517,0.480516601
157,0.544756178,0.58014777,0.558743553,0.529812335,0.545245733,0.535073973
160,0.497182578,0.534090663,0.490005411,0.53943709,0.573694032,0.544256762
163,0.523563119,0.563653264,0.535287339,0.531917565,0.521315305,0.470093965
166,0.521626716,0.530222705,0.538873137,0.502606294,0.531831343,0.495744752
169,0.508441837,0.559370061,0.564150511,0.536917397,0.503546107,0.54625066
172,0.587353423,0.54767584,0.535345725,0.520510415,0.539284115,0.513188644
175,0.522291514,0.524552913,0.530959722,0.584841678,0.492129378,0.514893737
178,0.534535533,0.491310725,0.559029682,0.51156878,0.514193064,0.537489691
181,0.530299596,0.515039296,0.582082584,0.548770733,0.547358984,0.514859481
184,0.584838504,0.510226827,0.522163669,0.526719964,0.594286131,0.57344886
187,0.551732762,0.532384481,0.588954163,0.560621238,0.543690983,0.551405481
190,0.535831845,0.520057491,0.557266996,0.617270481,0.532426574,0.556416243
193,0.558805787,0.543323713,0.548808561,0.547467668,0.569489907,0.543566068
196,0.492468773,0.556093834,0.546861413,0.525918069,0.516448396,0.554806969
199,0.567045972,0.553662923,0.535310055,0.596731742,0.544535499,0.566118361
202,0.597458652,0.554026582,0.548407877,0.568204193,0.595940937,0.523490929
205,0.551999397,0.591546257,0.564064624,0.561789015,0.577939968,0.596398149
208,0.51109037,0.585251912,0.527727603,0.546443401,0.539259586,0.619013714
211,0.578208657,0.560877589,0.529351132,0.548792113,0.515053077,0.514885583
214,0.585659869,0.539918017,0.530754415,0.603963341,0.553956735,0.516366472
217,0.50540184,0.535039777,0.574730911,0.552609744,0.518012683,0.592054019
220,0.559157959,0.564171467,0.600911159,0.585517336,0.535611229,0.507653855
223,0.5050229,0.548717713,0.528923139,0.543589797,0.575990272,0.563732986
226,0.571376072,0.544312668,0.631526633,0.630323793,0.563401718,0.556410803
229,0.611765994,0.554035376,0.606129672,0.567245867,0.582828237,0.592685811
232,0.572886844,0.57446066,0.54560137,0.545613269,0.539706599,0.590299189
235,0.508818651,0.495589535,0.589922446,0.504682316,0.580085225,0.554995207
238,0.540574735,0.644017528,0.562692566,0.568550997,0.583631858,0.602896718
241,0.550664907,0.555824904,0.514572656,0.618474258,0.634221881,0.61683022
244,0.568187474,0.559570874,0.550086991,0.593104378,0.577940974,0.592433193
247,0.547494624,0.596040212,0.633736167,0.551508705,0.584748604,0.570448894
250,0.499292679,0.492657621,0.478321752,0.494958779,0.523432213,0.498783113
253,0.604261856,0.606500445,0.558804035,0.564007713,0.591480761,0.579002494
256,0.615627983,0.60796258,0.63513804,0.623446382,0.569868497,0.557196985
259,0.569181214,0.551264867,0.548731584,0.602213673,0.597941694,0.59088224
262,0.583241626,0.590762465,0.594524821,0.572950126,0.649292509,0.54324131
265,0.571772077,0.62374229,0.655240155,0.574161578,0.629453831,0.605596922
268,0.567798609,0.613318307,0.625852496,0.568865887,0.579924743,0.596416189
271,0.608891884,0.594382301,0.597714375,0.617912945,0.598112733,0.555687365
274,0.675692062,0.609261073,0.673767376,0.551292225,0.609616998,0.606747549
277,0.541228098,0.584109161,0.581261267,0.558809301,0.574385673,0.620079488
280,0.656744051,0.579762162,0.578244242,0.612623569,0.591930299,0.592899331
283,0.590155293,0.564207248,0.570759896,0.565899671,0.547461419,0.585784104
286,0.597010713,0.602582722,0.592410077,0.619504097,0.584518508,0.615092693
289,0.614281626,0.564102826,0.580248585,0.594526331,0.603695254,0.575419622
292,0.628637417,0.608205163,0.596605868,0.588378473,0.615035397,0.530001175
295,0.545652093,0.609878219,0.666943594,0.661688395,0.637983566,0.580010047
298,0.595900085,0.631384148,0.574486821,0.58976098,0.647890896,0.575740657
301,0.588940923,0.567891848,0.594574828,0.609539664,0.628472524,0.64571477
304,0.619190954,0.616255019,0.595603566,0.64406613,0.621190506,0.585763324
307,0.621942312,0.612684614,0.653335323,0.644193309,0.600885037,0.523240103
310,0.63476705,0.590654012,0.604889133,0.573143066,0.651455539,0.642658726
313,0.679819951,0.652858944,0.66239158,0.633883073,0.553617744,0.616096455
316,0.555440301,0.560187277,0.626016178,0.567440401,0.573744701,0.605796163
319,0.554640041,0.569265949,0.654067958,0.649293205,0.631745974,0.584969352
322,0.548174194,0.643187862,0.644659061,0.598493799,0.635626944,0.617436676
325,0.618918971,0.532274818,0.705902077,0.714782861,0.654581819,0.567331303
328,0.63077081,0.562667924,0.598065236,0.579144937,0.633145459,0.636816321
331,0.529853776,0.608305145,0.61686246,0.567532712,0.598716755,0.619980092
334,0.667889349,0.611733914,0.625357696,0.621890411,0.683739599,0.63155732
337,0.638551212,0.589894066,0.592924071,0.659500109,0.659597391,0.567226206
340,0.679258179,0.692079379,0.590494587,0.624736503,0.551745009,0.573924638
343,0.581074214,0.628348582,0.638231438,0.680253247,0.55699863,0.641512454
346,0.54241532,0.612310504,0.661584223,0.634143099,0.6139566,0.651575509
349,0.607430434,0.638937245,0.596512209,0.564860159,0.65285057,0.62809644
352,0.540371631,0.600653485,0.631850294,0.630578029,0.582496872,0.657246388
355,0.555184624,0.618804017,0.670644662,0.626781305,0.599314154,0.657452105
358,0.585998005,0.597397215,0.601840082,0.601950975,0.653288658,0.6572535
361,0.649997265,0.621403261,0.631910641,0.558889579,0.620067053,0.643700831
364,0.626692455,0.623013705,0.594123355,0.64475594,0.621815246,0.642783282
367,0.637450439,0.696749148,0.696638207,0.648205322,0.665479017,0.627810388
370,0.627280281,0.637458621,0.592176527,0.675344066,0.726970622,0.643441756
373,0.587367165,0.698094451,0.651591209,0.59204552,0.622063905,0.697112557
376,0.604513068,0.608840769,0.613554349,0.718653664,0.675915555,0.624513152
379,0.57081733,0.664243533,0.624576842,0.580268871,0.626759306,0.61258416
382,0.675434371,0.635814796,0.704266196,0.618181788,0.646193278,0.641501806
385,0.689051458,0.610267753,0.618512751,0.627477471,0.675821918,0.661547809
388,0.653450975,0.705903852,0.659583104,0.576009097,0.664649081,0.629574263
391,0.650757445,0.642932741,0.581285193,0.676649301,0.67499844,0.595713298
394,0.601395211,0.63248034,0.581053813,0.600703627,0.64560981,0.645534476
397,0.661629701,0.618887726,0.641065751,0.657161751,0.625550496,0.649473511
400,0.657891186,0.649179361,0.650617164,0.625355158,0.57386162,0.58413043
403,0.604629465,0.620631491,0.664642094,0.76307454,0.600614626,0.615079226
406,0.629230398,0.608322345,0.598680679,0.705993414,0.622092477,0.576795817
409,0.568466717,0.642568399,0.60110078,0.615881814,0.62429006,0.625640096
412,0.632982494,0.600376936,0.653870698,0.645191156,0.654907546,0.592920326
415,0.653927571,0.690572917,0.701479331,0.674650042,0.581508989,0.627043035
418,0.618379219,0.637475152,0.682765648,0.62135822,0.631022521,0.630015616
421,0.630776267,0.653434168,0.607763133,0.626027163,0.630622934,0.671390689
424,0.648239269,0.606634908,0.561267894,0.706442343,0.578357818,0.549367205
427,0.65226725,0.634181461,0.615399783,0.642852366,0.56705779,0.574570433
430,0.658589339,0.666418223,0.672406256,0.656516962,0.620381914,0.663962977
433,0.640935471,0.635933684,0.676149894,0.734438478,0.625431114,0.646008009
436,0.623508756,0.675256811,0.611239873,0.539898245,0.657122568,0.574706481
439,0.680863487,0.582694612,0.624752793,0.655496108,0.610184242,0.679158552
442,0.654157272,0.643326016,0.68277269,0.630560749,0.668223824,0.569459536
445,0.642456051,0.630069154,0.611587912,0.668550112,0.665402118,0.660447227
448,0.619792633,0.637775357,0.636081292,0.672109225,0.65432072,0.603730572
451,0.641237705,0.581860377,0.672935191,0.623497064,0.585781767,0.764338024
454,0.559953188,0.597503166,0.653279533,0.599803767,0.654100406,0.593327551
457,0.633191442,0.60789508,0.66009546,0.677410194,0.61574368,0.716700785
460,0.628795267,0.633205122,0.623641575,0.637589581,0.578370962,0.586958192
463,0.692609761,0.641282903,0.683079914,0.653463687,0.607408371,0.63649304
466,0.678535087,0.662379599,0.675797436,0.631902554,0.675649348,0.579322448
469,0.620686899,0.700143068,0.709409234,0.613318333,0.721439319,0.615265618
472,0.659512697,0.616198422,0.594358298,0.682346176,0.652363081,0.617845255
475,0.629341826,0.67382017,0.579674793,0.635648705,0.655063619,0.59715885
478,0.631433573,0.692426791,0.657995497,0.63341884,0.66011087,0.632558241
481,0.618290904,0.598291915,0.641601181,0.640170537,0.632887875,0.662786531
484,0.622019496,0.656602176,0.644909401,0.617155637,0.648365294,0.664579301
487,0.630232557,0.672824542,0.606208137,0.66826643,0.637969067,0.745264001
490,0.646384658,0.649995054,0.659895581,0.647961684,0.658072778,0.673969959
493,0.651148752,0.682654685,0.615392106,0.657741376,0.639563579,0.678959873
496,0.69785689,0.665713435,0.729947133,0.691878563,0.639925936,0.642405286
499,0.504288548,0.690169255,1.014667641,0.685285602,0.552999347,0.633613896
502,0.642851438,0.680834946,0.620093268,0.642375412,0.653717533,0.666242702
505,0.712704404,0.655472315,0.701118268,0.716497397,0.597947389,0.687372327
508,0.661849656,0.690514873,0.717434238,0.657444856,0.664583419,0.653291848
511,0.647785794,0.677633605,0.64339645,0.657360934,0.608667241,0.626235009
514,0.636452753,0.650293381,0.619217937,0.658601676,0.654859337,0.618680932
517,0.652475553,0.698484178,0.604253452,0.658459449,0.67124272,0.680575368
520,0.636829321,0.663294665,0.647959439,0.608577685,0.668569329,0.69954537
523,0.654311132,0.658866606,0.623644495,0.694277338,0.673688446,0.727477021
526,0.656022488,0.68424975,0.687151327,0.624261703,0.642905127,0.620065427
529,0.641880211,0.653837298,0.598099073,0.631365749,0.654954029,0.631998931
532,0.598569773,0.683313628,0.593814752,0.622772943,0.7552444,0.680605538
535,0.635158434,0.724356495,0.680875126,0.61361484,0.732108765,0.748927948
538,0.620361537,0.653739192,0.569177467,0.674386512,0.644426438,0.633971161
541,0.734596314,0.603291823,0.643769442,0.739733972,0.735449055,0.648194332
544,0.648802914,0.625835267,0.599959131,0.653046209,0.642092876,0.700225503
547,0.696188936,0.622966066,0.692495464,0.603024307,0.609942325,0.619954882
550,0.645877091,0.664277341,0.640438568,0.72252537,0.673067874,0.676474901
553,0.680564386,0.739215145,0.609009791,0.659103729,0.579130988,0.653625108
556,0.627607881,0.677272635,0.660374009,0.605455248,0.651280491,0.62523167
559,0.661390175,0.655238678,0.648295396,0.643426987,0.659674062,0.615723848
562,0.69845259,0.676234702,0.695596311,0.673154768,0.699470283,0.605779262
565,0.733930408,0.644206379,0.592455736,0.684238673,0.746134446,0.693512631
568,0.670907976,0.666206472,0.643222805,0.58418572,0.644101111,0.660845612
571,0.65754142,0.671030171,0.645861454,0.619750713,0.712582359,0.717590829
574,0.645739839,0.641896229,0.583335709,0.657756063,0.652272985,0.626021135
577,0.697389818,0.616217214,0.662807385,0.696953985,0.63446248,0.763920842
580,0.663147292,0.639625831,0.613900185,0.630458851,0.727158658,0.684662224
583,0.676526021,0.678455413,0.665538641,0.640934345,0.743597436,0.727797741
586,0.641201972,0.61643296,0.613746563,0.743212575,0.778059091,0.648108982
589,0.64915844,0.670180518,0.693358441,0.638037368,0.666021061,0.676939286
592,0.634101213,0.719549196,0.66560377,0.643191264,0.599566481,0.618791329
595,0.637578059,0.678530326,0.578451851,0.591086893,0.676434125,0.660527785
598,0.583980373,0.683080639,0.673362367,0.756835936,0.629995994,0.727441571
601,0.697376634,0.709392336,0.612173542,0.675831919,0.672139322,0.652075398
604,0.655976935,0.664537211,0.672222058,0.703898196,0.752163189,0.693152837
607,0.655022155,0.733115429,0.720036978,0.718281246,0.64299294,0.662077047
610,0.69523801,0.678930416,0.687533721,0.654921491,0.668099036,0.689519534
613,0.689376385,0.682358723,0.607723322,0.713254359,0.610285237,0.619671292
616,0.743002477,0.718929321,0.743044912,0.669836679,0.701380097,0.70664738
619,0.663311201,0.63156536,0.708987555,0.680887341,0.725647533,0.683643887
622,0.655368704,0.631272772,0.629850443,0.69230277,0.730181323,0.726071471
625,0.7282306,0.603145141,0.647841172,0.641860545,0.655737209,0.73427366
628,0.764289817,0.613972142,0.691154375,0.71696637,0.653913404,0.767246224
631,0.650973149,0.611977913,0.671966657,0.691373928,0.657846857,0.685355077
634,0.628159831,0.673230258,0.701498394,0.625429512,0.667589597,0.639940497
637,0.656995076,0.660319806,0.61233921,0.675566991,0.685491817,0.772566341
640,0.612815148,0.638063696,0.660908745,0.624610112,0.680316625,0.683271346
643,0.697005514,0.710928267,0.67797615,0.610012171,0.676813066,0.621178395
646,0.689377841,0.636273812,0.71701606,0.588743878,0.598990768,0.77321784
649,0.635832594,0.646090441,0.679782613,0.63233124,0.652856485,0.6566472
652,0.630778956,0.669822715,0.659352041,0.631356236,0.675002446,0.686386803
655,0.682801495,0.695903857,0.633599135,0.685693302,0.672296223,0.653121221
658,0.68744049,0.606229147,0.789528748,0.640885228,0.710407902,0.630177211
661,0.715817344,0.682067614,0.574789802,0.704303368,0.708563555,0.65500132
664,0.683911112,0.638164587,0.586608219,0.65186977,0.607252647,0.627622651
667,0.634353207,0.673619096,0.605754308,0.65436279,0.665194151,0.66113095
670,0.659336636,0.618797925,0.640309421,0.672066509,0.656740183,0.713081267
673,0.61666173,0.671581066,0.648904516,0.637164751,0.61956452,0.775036556
676,0.659927619,0.608330264,0.757956401,0.57630837,0.735217286,0.737330669
679,0.797172211,0.624688074,0.558014257,0.605839181,0.688437025,0.691143763
682,0.741000707,0.664464507,0.605720591,0.634381176,0.659637794,0.61529161
685,0.673846691,0.664097622,0.586062893,0.629544736,0.699999285,0.653206325
688,0.635122375,0.725943971,0.603032341,0.578025238,0.665038437,0.731260134
691,0.619405248,0.63182996,0.741351025,0.717474215,0.69630408,0.711764195
694,0.72795777,0.660306219,0.629769208,0.690104101,0.629620533,0.695963363
697,0.689678022,0.687709928,0.691605258,0.714806329,0.677579195,0.698047997
700,0.716767674,0.710704431,0.587099077,0.704097112,0.664969409,0.604113729
703,0.634150402,0.660107024,0.667969313,0.588920347,0.690296915,0.622444319
706,0.622620753,0.636965051,0.735680308,0.673365474,0.691148371,0.626887869
709,0.699201474,0.64187095,0.640766418,0.652445722,0.721438808,0.643623241
712,0.658477592,0.614181947,0.642217921,0.722438762,0.701941822,0.597640339
715,0.646730283,0.635876471,0.698301301,0.659614379,0.684630483,0.733933583
718,0.7083542,0.699891063,0.642739542,0.685696736,0.66534644,0.641708722
721,0.686203683,0.685027109,0.659225832,0.68368214,0.720203671,0.734797621
